device,timestamp,Feature_Value_0,Feature_Value_1,Feature_Value_2,Feature_Value_3,Feature_Value_4,Feature_Value_5
88:4A:EA:69:43:8A,2017-03-15 07:00:46.840000000,97.51,97.45,97.56,97.47,97.56,34.09
88:4A:EA:69:42:9B,2017-03-15 07:00:47.049999872,94.24,94.27,94.05,94.32,94.3,46.53
88:4A:EA:69:E1:72,2017-03-15 07:00:47.140000000,880.78,7.93,4.38,2.08,51.83,209.0
88:4A:EA:69:43:8A,2017-03-15 07:00:47.360000000,97.56,97.65,97.52,97.65,97.43,33.9
88:4A:EA:69:42:9B,2017-03-15 07:00:47.580000000,94.27,94.26,94.23,94.28,94.31,46.11
88:4A:EA:69:43:8A,2017-03-15 07:00:47.880000000,97.59,97.55,97.66,97.54,97.6,33.93
88:4A:EA:69:E1:72,2017-03-15 07:00:48.120000000,995.88,8.22,4.55,2.02,51.83,209.0
88:4A:EA:69:42:9B,2017-03-15 07:00:48.249999872,94.25,94.16,94.26,94.15,94.44,46.19
88:4A:EA:69:43:8A,2017-03-15 07:00:48.409999872,97.62,97.59,97.61,97.64,97.63,34.71
88:4A:EA:69:42:9B,2017-03-15 07:00:48.780000000,94.28,94.31,94.24,94.32,94.24,45.94
88:4A:EA:69:43:8A,2017-03-15 07:00:48.929999872,97.56,97.54,97.61,97.58,97.53,33.34
88:4A:EA:69:E1:72,2017-03-15 07:00:49.160000000,802.34,7.71,4.34,2.05,51.83,208.0
88:4A:EA:69:42:9B,2017-03-15 07:00:49.300000000,94.27,94.38,94.21,94.16,94.32,46.68
88:4A:EA:69:43:8A,2017-03-15 07:00:49.449999872,97.63,97.56,97.61,97.74,97.62,34.16
88:4A:EA:69:42:9B,2017-03-15 07:00:49.820000000,94.27,94.31,94.31,94.16,94.3,48.01
88:4A:EA:69:43:8A,2017-03-15 07:00:49.969999872,97.61,97.59,97.63,97.58,97.65,34.88
88:4A:EA:69:E1:72,2017-03-15 07:00:50.289999872,908.92,8.07,4.5,2.1,51.83,208.0
88:4A:EA:69:42:9B,2017-03-15 07:00:50.340000000,94.18,94.07,94.13,94.32,94.19,48.75
88:4A:EA:69:43:8A,2017-03-15 07:00:50.500000000,97.64,97.63,97.59,97.67,97.66,34.53
